title,isbn,language,  num_pages,publish_at,house
The Diamond Color Meditation: Color Pathway to the Soul,1890995525,eng,74,2/1/2006,Square One Publishers
The Complete Calvin and Hobbes,740748475,eng,1456,9/6/2005,Andrews McMeel Publishing
Its a Magical World (Calvin and Hobbes  No.11),836221362,eng,176,9/1/1996,Andrews McMeel Publishing
Harry Potter Collection (Harry Potter  No.1-6),439827604,eng,3342,9/12/2005,Scholastic
Homicidal Psycho Jungle Cat (Calvin and Hobbes No.9),836217691,eng,176,9/6/1994,Andrews McMeel Publishing
The Days Are Just Packed,836217357,eng,176,9/1/1993,Andrews McMeel Publishing
The Calvin and Hobbes Tenth Anniversary Book,836204387,eng,208,9/5/1995,Andrews McMeel Publishing
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,345538374,eng,1728,9/25/2012,Ballantine Books
The Lord of the Rings: The Art of the Fellowship of the Ring,618212906,eng,192,6/12/2002,Houghton Mifflin Harcourt
Harry Potter and the Goblet of Fire (Harry Potter  No.4),074754624X,eng,636,7/8/2000,Bloomsbury
The Complete Maus,141014083,eng,296,10/2/2003,Penguin Books
The Complete Novels,140259449,eng,1344,6/17/1996,Penguin
Carrie / Salems Lot / The Shining,517219026,eng,1096,7/2/2002,Wings
The Valley of Vision: A Collection of Puritan Prayers and Devotions,851512283,eng,223,11/1/1975,Banner of Truth
The Power Broker: Robert Moses and the Fall of New York,394720245,eng,1344,7/12/1975,Vintage
Sister Outsider: Essays and Speeches,895941414,en-GB,190,6/1/1984,Crossing Press
Harry Potter y la Orden del Fénix (Harry Potter  No.5),8478888845,spa,893,2/21/2004,Emece Editores
Rain of Gold,038531177X,eng,576,9/1/1992,Delta
Sherlock Holmes: The Complete Novels and Stories  Volume I,553212419,eng,1059,8/26/1986,Bantam Classics
Lover Awakened (Black Dagger Brotherhood  No.3),451219368,eng,448,9/5/2006,Signet
The Green Mile,451933028,eng,592,9/1/1996,Penguin Signet
A Breath of Snow and Ashes (Outlander  No.6),385340397,eng,980,8/29/2006,Delta
Found (Firstborn  No.3),842387455,eng,342,8/1/2006,Tyndale House Publishers
The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  No.1-8),553609416,eng,2088,10/6/1998,Starfire
Dead Beat (The Dresden Files  No.7),045146091X,eng,517,1/1/2006,Roc
Band of Brothers: E Company  506th Regiment  101st Airborne from Normandy to Hitlers Eagles Nest,743464117,eng,432,9/1/2002,Simon & Schuster; Media Tie-In edition
Forever (Firstborn  No.5),1414307640,eng,346,2/22/2007,Tyndale House Publishers
Gates of Fire,055338368X,eng,392,9/27/2005,Bantam
Bleach  Volume 15,1421506130,eng,208,10/3/2006,VIZ Media LLC
Where Im Calling From: New and Selected Stories,679722319,eng,544,9/12/2000,Vintage Contemporaries
The Lord God Made Them All,312966202,eng,373,9/15/1998,St. Martins Paperbacks
The Civil War  Vol. 1: Fort Sumter to Perryville,394746236,eng,856,11/12/1986,Vintage
The Last Lion: Winston Spencer Churchill: Visions of Glory 1874-1932,385313489,eng,992,4/1/1984,Delta
Family (Firstborn  No.4),842387463,eng,345,10/1/2006,Tyndale House Publishers
The Complete Collected Poems,067942895X,eng,273,9/13/1994,Random House
Harry Potter and the Chamber of Secrets (Harry Potter  No.2),439554896,eng,352,11/1/2003,Scholastic
A Clash of Kings  (A Song of Ice and Fire  No.2),553381695,eng,969,5/28/2002,Bantam
War and Remembrance (The Henry Family  No.2),316954993,eng,1042,2/5/2002,Back Bay Books
All Things Wise and Wonderful,312335288,eng,448,11/1/2004,St. Martins Griffin
Forgiven (Firstborn  No.2),842387447,eng,358,9/23/2005,Tyndale House Publishers
Bradbury Stories: 100 of His Most Celebrated Tales,60544880,eng,912,4/5/2005,William Morrow Paperbacks
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,043932162X,eng,240,11/1/2001,Arthur A. Levine
Shadow of the Almighty: The Life and Testament of Jim Elliot,006062213X,eng,272,9/29/2009,HarperOne
Voyager (Outlander  No.3),385335997,eng,870,8/7/2001,Delta
The Belgariad  Vol. Two: Castle of Wizardry / Enchanters End Game (The Belgariad  No.4-5),345456319,eng,483,8/27/2002,Del Rey
The Lord of the Rings: Official Movie Guide,618154027,eng,120,11/6/2001,Houghton Mifflin Harcourt
The Ultimate Hitchhikers Guide to the Galaxy (Hitchhikers Guide to the Galaxy  No.1-5),345453743,eng,815,4/30/2002,Del Rey Books
The Complete Stories and Poems,385074077,eng,821,8/15/1984,Doubleday & Company  Inc.
The Brothers K,055337849X,eng,645,6/1/1996,Dial Press Trade Paperback
Homicide: A Year on the Killing Streets,805080759,eng,646,8/22/2006,Holt McDougal
Bleach  Volume 14,1421506122,eng,208,8/1/2006,VIZ Media LLC
Spiritual Midwifery,1570671044,eng,482,1/1/2002,Book Publishing Company (TN)
The Winds of War (The Henry Family  No.1),316952664,eng,896,2/5/2002,Back Bay Books
The King of Attolia (The Queens Thief  No.3),006083577X,eng,387,1/24/2006,Greenwillow Books
The Physician (Cole Family Trilogy  No.1),751503894,eng,720,7/1/2001,Little  Brown Book Group
Caesar (Masters of Rome  No.5),60510854,eng,928,1/28/2003,Avon
The Secret Lives of Men and Women: A PostSecret Book,61198757,en-GB,144,1/9/2007,William Morrow
Teaching to Transgress: Education as the Practice of Freedom,415908086,eng,216,9/14/1994,Routledge
The Fellowship of the Ring (The Lord of the Rings  No.1),618346252,eng,398,9/5/2003,Houghton Mifflin Harcourt
A Fine Balance,140003065X,eng,603,11/30/2001,Vintage
Cursors Fury (Codex Alera  No.3),441014348,eng,442,12/5/2006,Ace Hardcover
Kushiels Avatar (Phèdres Trilogy  No.3),1405034149,eng,702,9/17/2004,Tor
On the Night You Were Born,312346069,en-US,32,10/17/2006,Feiwel & Friends
Bleach  Volume 12,1421504030,eng,208,4/4/2006,VIZ Media LLC
Bleach  Volume 11,1421502712,eng,208,2/7/2006,VIZ Media LLC
Bleach  Volume 13,1421506114,eng,208,6/6/2006,VIZ Media LLC
The Truelove (Aubrey & Maturin No.15),393310167,eng,304,7/17/1993,W. W. Norton  Company
Bleach  Volume 19,142151043X,eng,216,6/5/2007,VIZ Media LLC
The Adventures of Sherlock Holmes,1842055062,eng,189,1/1/2004,Geddes & Grosset
InuYasha Ani-Manga  Vol. 1 (Inuyasha Ani-Manga  No.1),1591162025,eng,206,1/14/2004,VIZ Media LLC
Bleach  Volume 20,1421510448,eng,216,8/7/2007,VIZ Media LLC
The Malloreon  Vol. 2: Sorceress of Darshiva / The Seeress of Kell (The Malloreon  No.4-5),345483871,eng,528,8/30/2005,Del Rey
The Complete Stories  Vol 1,038541627X,eng,624,10/1/1990,Broadway
The Lorax,679889108,eng,72,2/24/1998,Random House Books for Young Readers
