writer
John  Diamond
Bill Watterson
Bill Watterson
J.K. Rowling
Bill Watterson
Bill Watterson
Bill Watterson
J.R.R. Tolkien
Gary Russell
J.K. Rowling
Art Spiegelman
Jane Austen
Stephen King
Arthur Bennett
Robert A. Caro
Audre Lorde
J.K. Rowling
Victor Villaseñor
Arthur Conan Doyle
J.R. Ward
Stephen King
Diana Gabaldon
Karen Kingsbury
L.M. Montgomery
Jim Butcher
Stephen E. Ambrose
Karen Kingsbury
Steven Pressfield
Tite Kubo
Raymond Carver
James Herriot
Shelby Foote
William Manchester
Karen Kingsbury
Maya Angelou
J.K. Rowling
George R.R. Martin
Herman Wouk
James Herriot
Karen Kingsbury
Ray Bradbury
J.K. Rowling
Elisabeth Elliot
Diana Gabaldon
David Eddings
Brian Sibley
Douglas Adams
Edgar Allan Poe
David James Duncan
David Simon
Tite Kubo
Ina May Gaskin
Herman Wouk
Megan Whalen Turner
Noah Gordon
Colleen McCullough
Frank Warren
bell hooks
J.R.R. Tolkien
Rohinton Mistry
Jim Butcher
Jacqueline Carey
Nancy Tillman
Tite Kubo
Tite Kubo
Tite Kubo
Patrick O'Brian
Tite Kubo
Arthur Conan Doyle
Rumiko Takahashi
Tite Kubo
David Eddings
Isaac Asimov
Dr. Seuss
